topic	payload	qos	retained
gaia/vision/object	{"event": "enter", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/vision/object	{"event": "leave", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/vision/object	{"event": "enter", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/vision/object	{"event": "leave", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/voice/stats/minipc	{"vol": 94.0, "state": "idle", "threshold": 50, "silence_frames": 10, "speaker_threshold": 0.58, "frames_acc": 2353, "device_id": "gaia-main", "device_name": "alsa_input.usb-CVTE_UC_W20_Camera_510550000000100-02.iec958-stereo", "gaia_verify_confidence": 0.146, "gaia_verify_threshold": 0.6, "gaia_verify_active": true}	0	False
gaia/device/minipc-core-node-0/status	{"device_id": "minipc-core-node-0", "name": "core", "stanza": "salotto", "role": "core", "ip": "192.168.1.145", "tailscale_ip": "100.94.220.65", "internet": true, "capabilities": {"camera": true, "mic": false, "audio_out": true, "display": true, "midi": [], "i2c": true}, "services": {"mediaplayer": "inactive", "kiosk": "inactive", "yolo": "active", "mediapipe": "inactive", "scene": "active", "mosquitto": "active", "qdrant": "active", "ollama": "active", "openhab": "active"}, "config": {"yolo": {"enabled": true}, "mediapipe": {"enabled": false}, "mediaplayer": {"enabled": false}, "kiosk": {"enabled": true}, "scene": {"enabled": true}}, "uptime": 95667, "ts": 1789461163491}	0	False
gaia/vision/object	{"event": "enter", "object": "laptop", "camera": "salotto", "timestamp": 1789461163}	0	False
gaia/salotto/frame	{"camera": "salotto", "timestamp": 1789461163, "persons_count": 1, "movement": true, "scene_energy": 0.6, "objects": ["laptop", "chair", "person"], "object_counts": {"person": 1, "chair": 1}, "context": ["sociale", "lavoro"], "detections": [{"label": "person", "confidence": 0.88}, {"label": "chair", "confidence": 0.62}, {"label": "laptop", "confidence": 0.51}]}	0	False
gaia/brain/state	{"mood":"neutra","lifeIndex":80,"gamification":{"level":9,"xp":13835,"xpNextLevel":19400,"activeClass":"Guerriero","unlockedAssets":["base_grid","ambient_particles_low","shield_dome","rune_circle","glyph_trail","crystal_garden","starfield","phoenix_core"],"stats":{"mago":1836,"bardo":143,"guerriero":3121,"druido":1737},"_cd":{"natura":1789461115621,"movimento":1789198351657,"voce":1789406813261,"pensiero":1789400208122,"presenza":1789395991433,"riflessione":1786827611348,"rituale":1789454770512},"_lastMemCount":3,"_lastVoiceTs":1789406819637,"_lastThoughtTs":1789400208097},"presence":{"mauro":{"present":false,"enterTs":1789400392406,"lastSeen":1789400479603,"room":null,"confidence":0.514,"track_id":2594,"pose":"standing","exitTs":1788082042049},"maurizio":{"present":false,"enterTs":1789402783236,"lastSeen":1789402783236,"room":null,"confidence":0.2877,"pose":"standing"},"eli":{"present":false,"enterTs":1789400247445,"lastSeen":1789400247445,"room":null,"confidence":0.5122},"nicola":{"present":false,"enterTs":1789143679260,"lastSeen":1789313396424,"room":null,"confidence":0.5155,"pose":"standing"},"unknown_1789395989519_0":{"present":false,"room":null,"lastSeen":1789395989519,"confidence":0.3,"enterTs":1789395989519},"unknown_1789461154643_0":{"present":true,"room":"salotto","lastSeen":1789461154643,"confidence":0.3,"enterTs":1789461154643}},"rooms":{"corridoio":{"people":[],"objects":{},"ambient_light":24.68880104906209,"darkness":true,"_temps":{"hue_temperature_sensor_3_temperatura":23.39,"hue_temperature_sensor_5_temperatura":21.76},"temperature":22.6,"lastMotion":1789198351657},"ingresso":{"people":[],"objects":{},"ambient_light":29.648313895243422,"darkness":true,"_temps":{"hue_temperature_sensor_4_temperatura":21.05},"temperature":21.1},"salotto":{"people":["unknown_1789461154643_0"],"persons_count":1,"objects":{"laptop":1,"chair":1,"person":1},"lastUpdate":1789461154643,"_touchdesigner":true,"lastTd":1789454770485,"dmxPaletteA":"Deep Purple","_yolo":true,"lastYolo":1789461154643,"activity":"working","_activityCandidate":"working","_activityCandidateSince":1789461154643},"studio":{"people":[],"persons_count":0,"objects":{},"lastUpdate":1789461152426,"_touchdesigner":true,"lastTd":1789461152426},"soggiorno":{"people":[],"persons_count":0,"objects":{},"lastUpdate":1789454770485,"_touchdesigner":true,"lastTd":1789454770485,"dmxPaletteA":"Plasma","dmxPaletteB":"Plasma"},"zona-giorno":{"people":[],"persons_count":0,"objects":{},"lastUpdate":1789454773776,"_tccmActive":false},"unknown":{"people":[],"persons_count":0,"objects":{},"lastUpdate":1789458823061,"_touchdesigner":true,"lastTd":1789458823061}},"ts":1789461154643}	0	False
gaia/devices/minipc-core-node-0/profile	{"device_id": "minipc-core-node-0", "role": "core", "room": "salotto", "ip": "192.168.1.145", "tailscale_ip": "100.94.220.65", "internet": true, "capabilities": {"camera": true, "mic": false, "audio_out": true, "display": true, "midi": [], "i2c": true}, "services": {"mediaplayer": {"state": "inactive", "endpoints": {}}, "kiosk": {"state": "inactive", "endpoints": {}}, "yolo": {"state": "active", "endpoints": {"frame": "gaia/salotto/frame", "snapshot": "gaia/salotto/snapshot"}}, "mediapipe": {"state": "inactive", "endpoints": {"pose": "gaia/mediapipe/pose"}}, "scene": {"state": "active", "endpoints": {}}, "mosquitto": {"state": "active", "endpoints": {}}, "qdrant": {"state": "active", "endpoints": {}}, "ollama": {"state": "active", "endpoints": {}}, "openhab": {"state": "active", "endpoints": {}}, "camera": {"state": "active", "endpoints": {"mjpeg": "http://192.168.1.145:8766/video"}}}, "sw_version": "1.0.2", "ts": 1789461163645}	0	False
