path	type	strategy	rel_file_path	timestamp	dirty	build	touch_build	node_x	node_y	node_color
/externalizations	table	tsv	/Users/maurospagnoli/Documents/TD/Agent/externalizations.tsv	2026-07-01 13:23:55 UTC				-150	200	0.9000,0.3000,0.4000
/noise_particles1	base	tdn	/Users/maurospagnoli/Documents/TD/Agent/noise_particles1.tdn	2026-07-01 14:11:30 UTC		1	099.2025.32820	400	-50	0.3000,0.5000,0.9000
/	base	tdn	Agent_embody.tdn	2026-07-01 14:14:56 UTC			099.2025.32820			
